seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
121,unsigned,,90.000,255,7,1787088356.886
121,signed,330121,129.000,3,79,1787088357.017
122,unsigned,,91.000,255,7,1787088357.110
122,signed,330122,129.000,3,79,1787088357.242
123,unsigned,,90.000,255,7,1787088357.333
123,signed,330123,129.000,3,79,1787088357.465
124,unsigned,,91.000,255,7,1787088357.558
124,signed,330124,128.000,3,79,1787088357.688
125,unsigned,,90.000,255,7,1787088357.779
125,signed,330125,129.000,3,79,1787088357.911
126,unsigned,,88.000,255,7,1787088358.003
126,signed,330126,128.000,3,79,1787088358.134
127,unsigned,,91.000,255,7,1787088358.227
127,signed,330127,129.000,3,79,1787088358.359
128,unsigned,,88.000,255,7,1787088358.449
128,signed,330128,144.000,3,79,1787088358.596
129,unsigned,,89.000,255,7,1787088358.689
129,signed,330129,128.000,3,79,1787088358.820
130,unsigned,,92.000,255,7,1787088358.914
130,signed,330130,129.000,3,79,1787088359.047
131,unsigned,,89.000,255,7,1787088359.138
131,signed,330131,128.000,3,79,1787088359.269
132,unsigned,,94.000,255,7,1787088359.364
132,signed,330132,130.000,3,79,1787088359.498
133,unsigned,,91.000,255,7,1787088359.592
133,signed,330133,128.000,3,79,1787088359.723
134,unsigned,,86.000,255,7,1787088359.811
134,signed,330134,131.000,3,79,1787088359.944
135,unsigned,,88.000,255,7,1787088360.034
135,signed,330135,129.000,3,79,1787088360.166
136,unsigned,,89.000,255,7,1787088360.257
136,signed,330136,129.000,3,79,1787088360.388
137,unsigned,,91.000,255,7,1787088360.481
137,signed,330137,127.000,3,79,1787088360.611
138,unsigned,,91.000,255,7,1787088360.704
138,signed,330138,127.000,3,79,1787088360.834
139,unsigned,,91.000,255,7,1787088360.928
139,signed,330139,131.000,3,79,1787088361.062
140,unsigned,,89.000,255,7,1787088361.153
140,signed,330140,130.000,3,79,1787088361.285
141,unsigned,,90.000,255,7,1787088361.378
141,signed,330141,126.000,3,79,1787088361.507
142,unsigned,,87.000,255,7,1787088361.598
142,signed,330142,130.000,3,79,1787088361.731
143,unsigned,,91.000,255,7,1787088361.826
143,signed,330143,131.000,3,79,1787088361.959
144,unsigned,,89.000,255,7,1787088362.048
144,signed,330144,131.000,3,79,1787088362.182
145,unsigned,,90.000,255,7,1787088362.274
145,signed,330145,128.000,3,79,1787088362.406
146,unsigned,,89.000,255,7,1787088362.497
146,signed,330146,131.000,3,79,1787088362.631
147,unsigned,,89.000,255,7,1787088362.723
147,signed,330147,129.000,3,79,1787088362.855
148,unsigned,,90.000,255,7,1787088362.947
148,signed,330148,127.000,3,79,1787088363.079
149,unsigned,,86.000,255,7,1787088363.168
149,signed,330149,133.000,3,79,1787088363.302
150,unsigned,,91.000,255,7,1787088363.396
150,signed,330150,128.000,3,79,1787088363.528
151,unsigned,,88.000,255,7,1787088363.618
151,signed,330151,130.000,3,79,1787088363.750
152,unsigned,,88.000,255,7,1787088363.841
152,signed,330152,130.000,3,79,1787088363.974
153,unsigned,,88.000,255,7,1787088364.065
153,signed,330153,128.000,3,79,1787088364.197
154,unsigned,,90.000,255,7,1787088364.289
154,signed,330154,130.000,3,79,1787088364.422
155,unsigned,,90.000,255,7,1787088364.514
155,signed,330155,129.000,3,79,1787088364.647
156,unsigned,,86.000,255,7,1787088364.735
156,signed,330156,128.000,3,79,1787088364.866
157,unsigned,,91.000,255,7,1787088364.960
157,signed,330157,128.000,3,79,1787088365.092
158,unsigned,,88.000,255,7,1787088365.183
158,signed,330158,131.000,3,79,1787088365.317
159,unsigned,,89.000,255,7,1787088365.409
159,signed,330159,129.000,3,79,1787088365.541
160,unsigned,,88.000,255,7,1787088365.633
160,signed,330160,139.000,3,79,1787088365.775
161,unsigned,,90.000,255,7,1787088365.868
161,signed,330161,130.000,3,79,1787088366.000
162,unsigned,,90.000,255,7,1787088366.093
162,signed,330162,130.000,3,79,1787088366.225
163,unsigned,,91.000,255,7,1787088366.319
163,signed,330163,133.000,3,79,1787088366.454
164,unsigned,,91.000,255,7,1787088366.547
164,signed,330164,128.000,3,79,1787088366.678
165,unsigned,,89.000,255,7,1787088366.768
165,signed,330165,129.000,3,79,1787088366.900
166,unsigned,,90.000,255,7,1787088366.992
166,signed,330166,128.000,3,79,1787088367.123
167,unsigned,,92.000,255,7,1787088367.218
167,signed,330167,130.000,3,79,1787088367.350
168,unsigned,,89.000,255,7,1787088367.442
168,signed,330168,129.000,3,79,1787088367.574
169,unsigned,,88.000,255,7,1787088367.665
169,signed,330169,198.000,3,79,1787088367.867
170,unsigned,,88.000,255,7,1787088367.958
170,signed,330170,129.000,3,79,1787088368.089
171,unsigned,,88.000,255,7,1787088368.179
171,signed,330171,131.000,3,79,1787088368.313
172,unsigned,,89.000,255,7,1787088368.404
172,signed,330172,129.000,3,79,1787088368.535
173,unsigned,,91.000,255,7,1787088368.629
173,signed,330173,126.000,3,79,1787088368.760
174,unsigned,,91.000,255,7,1787088368.854
174,signed,330174,128.000,3,79,1787088368.984
175,unsigned,,89.000,255,7,1787088369.075
175,signed,330175,131.000,3,79,1787088369.208
176,unsigned,,90.000,255,7,1787088369.300
176,signed,330176,129.000,3,79,1787088369.432
177,unsigned,,89.000,255,7,1787088369.524
177,signed,330177,129.000,3,79,1787088369.655
178,unsigned,,99.000,255,7,1787088369.757
178,signed,330178,129.000,3,79,1787088369.889
179,unsigned,,92.000,255,7,1787088369.983
179,signed,330179,129.000,3,79,1787088370.115
