seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
247,unsigned,,91.000,255,7,1787087609.150
247,signed,310247,147.000,3,79,1787087609.299
248,unsigned,,174.000,255,7,1787087609.474
248,signed,310248,136.000,3,79,1787087609.612
249,unsigned,,202.000,255,7,1787087609.817
249,signed,310249,259.000,3,79,1787087610.080
250,unsigned,,104.000,255,7,1787087610.186
250,signed,310250,209.000,3,79,1787087610.397
251,unsigned,,106.000,255,7,1787087610.505
251,signed,310251,188.000,3,79,1787087610.697
252,unsigned,,103.000,255,7,1787087610.802
252,signed,310252,189.000,3,79,1787087610.993
253,unsigned,,90.000,255,7,1787087611.085
253,signed,310253,215.000,3,79,1787087611.302
254,unsigned,,92.000,255,7,1787087611.396
254,signed,310254,196.000,3,79,1787087611.593
255,unsigned,,113.000,255,7,1787087611.707
255,signed,310255,215.000,3,79,1787087611.925
256,unsigned,,90.000,255,7,1787087612.017
256,signed,310256,219.000,3,79,1787087612.238
257,unsigned,,94.000,255,7,1787087612.335
257,signed,310257,232.000,3,79,1787087612.569
258,unsigned,,133.000,255,7,1787087612.704
258,signed,310258,192.000,3,79,1787087612.899
259,unsigned,,89.000,255,7,1787087612.990
259,signed,310259,159.000,3,79,1787087613.150
260,unsigned,,98.000,255,7,1787087613.248
260,signed,310260,208.000,3,79,1787087613.458
261,unsigned,,91.000,255,7,1787087613.551
261,signed,310261,197.000,3,79,1787087613.751
262,unsigned,,92.000,255,7,1787087613.846
262,signed,310262,215.000,3,79,1787087614.062
263,unsigned,,88.000,255,7,1787087614.153
263,signed,310263,196.000,3,79,1787087614.351
264,unsigned,,105.000,255,7,1787087614.458
264,signed,310264,226.000,3,79,1787087614.686
265,unsigned,,89.000,255,7,1787087614.777
265,signed,310265,213.000,3,79,1787087614.992
266,unsigned,,95.000,255,7,1787087615.089
266,signed,310266,210.000,3,79,1787087615.303
267,unsigned,,90.000,255,7,1787087615.395
267,signed,310267,228.000,3,79,1787087615.624
268,unsigned,,93.000,255,7,1787087615.720
268,signed,310268,183.000,3,79,1787087615.907
269,unsigned,,97.000,255,7,1787087616.007
269,signed,310269,186.000,3,79,1787087616.195
270,unsigned,,97.000,255,7,1787087616.294
270,signed,310270,2005.000,3,79,1787087618.300
271,unsigned,,89.000,255,7,1787087618.391
271,signed,310271,129.000,3,79,1787087618.521
272,unsigned,,115.000,255,7,1787087618.637
272,signed,310272,128.000,3,79,1787087618.768
273,unsigned,,1973.000,255,7,1787087620.742
273,signed,310273,159.000,3,79,1787087620.904
274,unsigned,,95.000,255,7,1787087621.002
274,signed,310274,144.000,3,79,1787087621.150
275,unsigned,,92.000,255,7,1787087621.245
275,signed,310275,152.000,3,79,1787087621.400
276,unsigned,,90.000,255,7,1787087621.493
276,signed,310276,134.000,3,79,1787087621.630
277,unsigned,,94.000,255,7,1787087621.727
277,signed,310277,131.000,3,79,1787087621.861
278,unsigned,,89.000,255,7,1787087621.953
278,signed,310278,133.000,3,79,1787087622.090
279,unsigned,,91.000,255,7,1787087622.184
279,signed,310279,153.000,3,79,1787087622.341
280,unsigned,,97.000,255,7,1787087622.440
280,signed,310280,141.000,3,79,1787087622.584
281,unsigned,,132.000,255,7,1787087622.719
281,signed,310281,158.000,3,79,1787087622.879
282,unsigned,,101.000,255,7,1787087622.983
282,signed,310282,157.000,3,79,1787087623.143
283,unsigned,,127.000,255,7,1787087623.272
283,signed,310283,135.000,3,79,1787087623.411
284,unsigned,,117.000,255,7,1787087623.530
284,signed,310284,138.000,3,79,1787087623.670
285,unsigned,,93.000,255,7,1787087623.767
285,signed,310285,131.000,3,79,1787087623.901
286,unsigned,,93.000,255,7,1787087623.997
286,signed,310286,191.000,3,79,1787087624.191
287,unsigned,,91.000,255,7,1787087624.285
287,signed,310287,137.000,3,79,1787087624.426
288,unsigned,,89.000,255,7,1787087624.518
288,signed,310288,132.000,3,79,1787087624.652
289,unsigned,,94.000,255,7,1787087624.749
289,signed,310289,129.000,3,79,1787087624.881
290,unsigned,,95.000,255,7,1787087624.978
290,signed,310290,138.000,3,79,1787087625.119
291,unsigned,,89.000,255,7,1787087625.211
291,signed,310291,135.000,3,79,1787087625.349
292,unsigned,,92.000,255,7,1787087625.443
292,signed,310292,136.000,3,79,1787087625.583
293,unsigned,,106.000,255,7,1787087625.692
293,signed,310293,152.000,3,79,1787087625.847
294,unsigned,,90.000,255,7,1787087625.941
294,signed,310294,134.000,3,79,1787087626.077
295,unsigned,,93.000,255,7,1787087626.174
295,signed,310295,129.000,3,79,1787087626.306
296,unsigned,,151.000,255,7,1787087626.462
296,signed,310296,156.000,3,79,1787087626.621
297,unsigned,,109.000,255,7,1787087626.733
297,signed,310297,128.000,3,79,1787087626.864
298,unsigned,,91.000,255,7,1787087626.958
298,signed,310298,170.000,3,79,1787087627.131
299,unsigned,,108.000,255,7,1787087627.242
299,signed,310299,128.000,3,79,1787087627.374
300,unsigned,,115.000,255,7,1787087627.492
300,signed,310300,130.000,3,79,1787087627.625
