seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
276,signed,200276,144.000,3,79,1787000329.920
277,unsigned,,105.000,255,7,1787000330.026
277,signed,200277,143.000,3,79,1787000330.173
278,unsigned,,102.000,255,7,1787000330.277
278,signed,200278,143.000,3,79,1787000330.424
279,unsigned,,101.000,255,7,1787000330.528
279,signed,200279,144.000,3,79,1787000330.674
280,unsigned,,103.000,255,7,1787000330.780
280,signed,200280,138.000,3,79,1787000330.922
281,unsigned,,103.000,255,7,1787000331.027
281,signed,200281,157.000,3,79,1787000331.187
282,unsigned,,104.000,255,7,1787000331.294
282,signed,200282,147.000,3,79,1787000331.445
283,unsigned,,103.000,255,7,1787000331.550
283,signed,200283,145.000,3,79,1787000331.698
284,unsigned,,103.000,255,7,1787000331.803
284,signed,200284,143.000,3,79,1787000331.949
285,unsigned,,104.000,255,7,1787000332.055
285,signed,200285,145.000,3,79,1787000332.203
286,unsigned,,104.000,255,7,1787000332.309
286,signed,200286,143.000,3,79,1787000332.456
287,unsigned,,102.000,255,7,1787000332.560
287,signed,200287,147.000,3,79,1787000332.709
288,unsigned,,104.000,255,7,1787000332.816
288,signed,200288,145.000,3,79,1787000332.964
289,unsigned,,105.000,255,7,1787000333.071
289,signed,200289,147.000,3,79,1787000333.222
290,unsigned,,106.000,255,7,1787000333.330
290,signed,200290,145.000,3,79,1787000333.478
291,unsigned,,104.000,255,7,1787000333.584
291,signed,200291,144.000,3,79,1787000333.731
292,unsigned,,108.000,255,7,1787000333.840
292,signed,200292,147.000,3,79,1787000333.988
293,unsigned,,106.000,255,7,1787000334.095
293,signed,200293,145.000,3,79,1787000334.240
294,unsigned,,110.000,255,7,1787000334.350
294,signed,200294,148.000,3,79,1787000334.500
295,unsigned,,103.000,255,7,1787000334.604
295,signed,200295,138.000,3,79,1787000334.746
296,unsigned,,108.000,255,7,1787000334.855
296,signed,200296,149.000,3,79,1787000335.004
297,unsigned,,104.000,255,7,1787000335.109
297,signed,200297,146.000,3,79,1787000335.256
298,unsigned,,104.000,255,7,1787000335.362
298,signed,200298,145.000,3,79,1787000335.509
299,unsigned,,112.000,255,7,1787000335.623
299,signed,200299,146.000,3,79,1787000335.770
300,unsigned,,104.000,255,7,1787000335.875
300,signed,200300,147.000,3,79,1787000336.024
301,unsigned,,106.000,255,7,1787000336.133
